n,block_type,rt,acc,stimulus,answer,target
0,training,,1,A,[],False
1,training,,1,Y,[],False
2,training,,1,B,[],False
3,training,,1,X,[],False
4,training,,1,A,[],False
5,training,,1,Y,[],False
6,training,,1,A,[],False
7,training,,1,Y,[],False
8,training,,1,A,[],False
9,training,,0,X,[],True
0,experiment,,1,B,[],False
1,experiment,,1,X,[],False
2,experiment,,1,A,[],False
3,experiment,,0,X,[],True
4,experiment,,1,B,[],False
5,experiment,,1,Y,[],False
6,experiment,,1,A,[],False
